"김태완스시","강남구 봉은사로1길 40, 서울, 대한민국","37.5073","127.024"
"슈치쿠","63로 50, 서울, 대한민국","37.5195","126.94"
"하루노유키","성동구 서울숲2길 17, 서울, 대한민국","37.5472","127.041"
"옴레스토랑 - 광화문점","종로구 새문안로 103, 서울, 대한민국","37.5705","126.976"
"양미옥","중구 을지로3가 161, 서울, 대한민국","37.5668","126.993"
"수연 산방","성북구 성북동 248, 서울, 대한민국","37.595","126.995"
"제이제이 마호니즈","용산구 한남동 747-7 그랜드 하얏트 호텔 지하 2층, 서울, 대한민국","37.5399","126.997"
"진옥화할매원조닭한마리","종로구 종로40가길 18, 서울, 대한민국","37.5703","127.006"
"스테이, 모던 레스토랑","송파구 올림픽로 300, 서울, 대한민국","37.5134","127.104"
"라세느","중구 을지로 30, 서울, 대한민국","37.565","126.981"
"도림","중구 을지로 30 , 서울, 대한민국","37.565","126.981"
"프릳츠커피컴퍼니","마포구 새창로2길 17, 서울, 대한민국","37.541","126.949"
"무궁화","중구 소공동 1, 서울, 대한민국","37.565","126.981"
"더그리핀바","종로구 청계천로 279, 서울, 대한민국","37.5688","127.001"
"스시고","삼청로 101, 서울, 대한민국","37.5844","126.982"
"윤씨그릴방","성미산로 184, 서울, 대한민국","37.5632","126.926"
"마이첼시","이태원로27가길 40, 서울, 대한민국","37.535","126.993"
"구가원","동교로 262, 서울, 대한민국","37.5629","126.925"
"두루","도산대로58길 12, 서울, 대한민국","37.5225","127.041"
"피어세븐틴","강남구 압구정로10길 13, 서울, 대한민국","37.5226","127.022"
"엘본 더 테이블 가로수길 본점 ","강남구 신사동 530-5, 서울, 대한민국","37.5234","127.022"
"대가방","강남구 신사동 526-10 개오망빌딩 1층, 서울, 대한민국","37.5209","127.02"
"교다이야","성지길 39, 서울, 대한민국","37.5468","126.913"
"타볼로 24","종로구 청계천로 279, 서울, 대한민국","37.5688","127.001"
"잔칫집","세종대로16길 3, 서울, 대한민국","37.5635","126.977"
"해우리","국제금융로 10, 서울, 대한민국","37.5249","126.925"
"갓덴스시","테헤란로 109, 서울, 대한민국","37.4988","127.029"
"시그니엘 서울 더 라운지","송파구 올림픽로 300, 서울, 대한민국","37.5134","127.104"
"더다이닝랩","마포구 양화로23길 22-7, 서울, 대한민국","37.5597","126.925"
"을지면옥","중구 입정동 177-1, 서울, 대한민국","37.5675","126.993"
"카페 드 파리 가로수길점","강남구 논현로161길 59, 서울, 대한민국","37.5221","127.024"
"카사블랑카 샌드위치","용산구 신흥로 33, 서울, 대한민국","37.5415","126.987"
"그랜드 키친","강남구 테헤란로 521, 서울, 대한민국","37.5091","127.061"
"세븐스퀘어","소공로 119, 서울, 대한민국","37.5646","126.978"
"원스인어블루문","강남구 청담동 85-1, 서울, 대한민국","37.5254","127.04"
"프로 간장 게장 신사점","서초구 강남대로97길 9, 서울, 대한민국","37.5145","127.019"
"듀자미","도산대로11길 28, 서울, 대한민국","37.5193","127.023"
"심양","강남구 도산대로 408, 서울, 대한민국","37.523","127.04"
"만정","종로구 삼청로 124-2, 서울, 대한민국","37.5862","126.982"
"아구랑 꽃게랑","중구 장충동2가 24-31, 서울, 대한민국","37.5608","127.005"
"우래옥 주교점","중구 주교동 118-1, 서울, 대한민국","37.5682","126.999"
"목멱산방","중구 퇴계로20길 71, 서울, 대한민국","37.5581","126.987"
"명동교자 본점","중구 명동10길 29-1, 서울, 대한민국","37.5625","126.986"
"육전식당 - 본점","동대문구 난계로30길 16, 서울, 대한민국","37.5742","127.024"
"아트리오","영등포구 여의도동 23-1, 서울, 대한민국","37.5255","126.926"
"데져트피자","종로구 팔판동 61-1, 서울, 대한민국","37.5821","126.981"
"와라쿠","강남구 신사동 525-16, 서울, 대한민국","37.5221","127.021"
"쿠루미","마포구 동교로 242-13, 서울, 대한민국","37.5613","126.925"
"올리비아","도산대로81길 51, 서울, 대한민국","37.527","127.046"
"대하정","삼양로181길 283, 서울, 대한민국","37.675","127.004"
"정담은","방배천로2길 15, 서울, 대한민국","37.4771","126.984"
"굴뚝집","방배천로2안길 7, 서울, 대한민국","37.4773","126.984"
"굴뚝집","방배천로2안길 7, 서울, 대한민국","37.4773","126.984"
"올리비아","청담동 21-2, 서울, 대한민국","37.5222","127.042"
"삼다연","논현로149길 6, 서울, 대한민국","37.5188","127.028"
"오뗄두스","논현로161길 59, 서울, 대한민국","37.5221","127.024"
"춘자보쌈족발한정식","연서로29길 22-15, 서울, 대한민국","37.62","126.918"
